"SalesOfficeName","GLA","SLA","YearlyHours","RoofHeight","LaserLight","StandAlone","Orientation","Fittings","NoofFittings","MechPacUnits","MechSplit_DuctedUnits","AirhandlingUnits","TotalKw","LEDBatternsReceiving","BEMS","BEMSInstallDate","SalesOfficeLong","SalesOfficeLat","OpenYear"
"west burleigh",1640,1161,5356,6.5,"NONE","1 Wall","S","Highbay LED 150w",84,4,0,0,219,"NONE","NONE",2020-01-01,153.437473,-28.10208,"2003"
"oxley",1681,1237,5356,6.5,"a","a","S","Highbay MH 350w",85,5,1,0,309,"NONE","NONE",2020-01-01,152.978654,-27.565656,"2005"
"aspley",1780,1315,5356,6.5,"a","a","S","Highbay MH 350w",95,5,1,0,309,"NONE","Yes",2016-02-01,153.015089,-27.358237,"2004"
"capalaba",1781,1340,5356,6.5,"a","a","S","Highbay MH 350w",90,5,1,0,293,"NONE","NONE",2020-01-01,153.195795,-27.527368,"2004"
"loganholme",1750,1242,5356,6.5,"a","1 Wall","S","Highbay MH 350w",80,5,2,0,329,"NONE","NONE",2020-01-01,153.171988,-27.662606,"2006"
"noosaville",1544,1141,5356,6.5,"a","2 Wall","S","Highbay LED 150w",81,3,2,0,219,"NONE","NONE",2020-01-01,153.040495,-26.411397,"2006"
"ipswich",1355,984,5356,6.5,"NONE","2 Wall","W","Highbay MH 350w",55,5,1,0,260.5,"NONE","NONE",2020-01-01,152.759871,-27.606622,"2007"
"bundaberg",1089,930,4992,5.5,"a","a","W","Highbay LED 150w",55,5,1,0,203,"NONE","NONE",2020-01-01,152.340138,-24.867904,"2007"
"morayfield",1599,1116,5356,5.5,"NONE","1 Wall","E","Highbay MH 350w",90,5,0,0,300,"NONE","NONE",2020-01-01,152.947959,-27.102915,"2008"
"nerang",2023,1674,5356,6.5,"NONE","a","N","Highbay LED 150w",105,3,3,0,285,"NONE","NONE",2020-01-01,153.34292,-28.009633,"2013"
"virginia",1554,1110,5356,5.3,"NONE","2 Wall","S","Highbay MH 350w",69,5,1,0,335,"NONE","NONE",2020-01-01,153.058777,-27.36323,"2008"
"underwood",1933,1564,5356,5.5,"NONE","1 Wall","E","Highbay LED 150w",98,4,1,0,287,"NONE","NONE",2020-01-01,153.114395,-27.618524,"2009"
"browns plains",2616,2265,5356,5.5,"NONE","1 Wall","S","Highbay LED 150w",73,5,3,0,336,"a","Yes",2015-10-01,153.040892,-27.659109,"2009"
"hervey bay",1890,1558,4680,5.5,"NONE","a","W","Highbay LED 150w",118,5,0,0,294,"NONE","Yes",2015-11-01,152.843513,-25.280713,"2009"
"strathpine",2323,1941,5356,6.5,"NONE","1 Wall","N","Highbay LED 150w",123,3,3,0,320.5,"a","Yes",2016-09-01,152.987366,-27.298571,"2010"
"maroochydore",2077,1740,5356,6.5,"NONE","a","N","Highbay LED 150w",127,2,3,0,220.5,"NONE","Yes",2015-10-01,153.085835,-26.656539,"1995"
"maroochydore",2077,1740,5356,6.5,"NONE","a","N","Highbay LED 150w",127,2,3,0,220.5,"NONE","Yes",2015-10-01,153.086834,-26.666556,"2015"
"rothwell",1556,1213,5356,6.5,"NONE","a","S","Induction 150w",59,3,0,0,300,"NONE","NONE",2020-01-01,153.046106,-27.214163,"2012"
"gladstone",1375,1031,4680,3.8,"NONE","a","E","Fluoro Batterns",170,0,0,0,225,"NONE","NONE",2020-01-01,151.246922,-23.841441,"2016"
"keswick",2345,1931,5044,6.5,"a","a","S","Highbay LED 150w",119,6,5,0,333.7,"a","Yes",2016-02-01,138.581243,-34.942694,"1996"
"trinity gardens",2071,1500,5044,6.5,"a","a","W","Highbay MH 350w",89,3,2,0,220.6,"NONE","NONE",2020-01-01,138.641024,-34.912998,"1997"
"prospect",2044,1473,5044,6.5,"a","a","W","Highbay LED 150w",101,4,2,0,217.5,"NONE","Yes",2016-02-01,138.603301,-34.888677,"2000"
"croydon",1960,1286,5044,6.5,"a","1 Wall","S","Highbay MH 350w",90,5,4,0,362.5,"NONE","NONE",2020-01-01,138.562113,-34.89782,"2005"
"noarlunga",1504,1012,5044,6.5,"a","1 Wall","N","Highbay MH 350w",70,5,1,0,271,"NONE","NONE",2020-01-01,138.504295,-35.138037,"2006"
"elizabeth",1550,1159,5044,6.5,"a","2 Wall","W","Highbay MH 350w",75,6,0,0,260,"NONE","NONE",2020-01-01,138.670979,-34.720566,"2007"
"marion",2192,1903,5044,6.5,"NONE","a","W","Highbay LED 150w",137,4,3,0,237.9,"NONE","NONE",2020-01-01,138.55751,-35.008206,"2004"
"marion",2192,1903,5044,6.5,"NONE","a","W","Highbay LED 150w",137,4,3,0,237.9,"NONE","NONE",2020-01-01,138.559323,-35.01439,"2013"
